Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
189,Mit jelölnek az ábrán látható laterális kitûzõ jel (kúp alakú zöld úszó)?,A hajóút jobb szélet és a jobb part közeli veszélyeket jelölik.,A hajóút bal szélét és a bal part közeli veszélyeket jelölik.,A hajóutat választják el a köztük és a jobb part között elhelyezkedõ veszteglõhelytõl.,teszt-0524.jpg,2
190,Mit jelez az ábrán látható zöld villanó fényû bója?,A hajóút tengelyét.,A hajóút bal szélét és a bal part közeli veszélyeket.,A veszteglõhelyet a hajóút bal oldalán határolja el.,xxx-0557.jpg,2
191,"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal felõl hajózik el az ábrán látható bója mellett?","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi.","A hajóm jobb oldala felõl hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","A hajóm bal oldala felõl hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.",teszt-0532.jpg,3
192,"Kishajójával völgymenetben hajózik. Biztonságra törekedve, melyik oldal felõl hajózik el az ábrán látható zöld fényû 2,8 másodperces megszakításokkal 0,7 másodpercig villanó bója mellett?","A hajóm bal oldala felõl hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét jelzi.","A hajóm jobb oldala felõl hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.",teszt-0534.jpg,1
193,"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal felõl hajózik el az ábrán látható bója mellett?","A hajóm bal oldala felõl hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","A hajóm jobb oldala felõl hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.",Bármelyik oldalról biztonságosan el lehet mellette hajózni.,teszt-0536.jpg,2
194,"Kishajójával hegymenetben hajózik. Biztonságra törekedve, melyik oldal felõl hajózik el az ábrán látható zöld fényû (2,8 másodperces megszakításokkal 0,7 másodpercig villanó) bója mellett?",Bármelyik oldalról biztonságosan el lehet mellette hajózni.,"A hajóm jobb oldala felõl hajózok el a bója mellett, hiszen az a hajóút bal szélét és a bal part közeli veszélyeket jelzi.","A hajóm bal oldala felõl hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.",teszt-0530.jpg,2
195,"Kishajójával völgymenetben hajózva egy tárgyat észlel maga elõtt. Megvilágítva azt egy zöld kúpot formáló alakzatot lát. Biztonságra törekedve, melyik oldal felõl hajózik el az ábrán látható úszó mellett?","A hajóm bal oldala felõl hajózok el a bója mellett, hiszen az hajóút bal szélét és a bal part közeli veszélyeket jelzi.","A hajóm jobb oldal felõl hajózok el a bója mellett, hiszen az a hajóút jobb szélét és a jobb part közeli veszélyeket jelzi.","Bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a hajóút tengelyét, biztonságos vizeket jelez.",xxx-0523.jpg,1
196,"Mit jelez az ábrán látható zöld kúpot formáló, fehér P betûvel ellátott bója?","A hajóút bal szélét, továbbá irányának jelölésére szolgál, elhatárolja a hajóút bal oldalát és a víziút bal part felé esõ veszélyes helyeit.",A hajóút bal szélét és a bal part közötti veszteglõhelyet határolja el.,A hajóút jobb szélét és a jobb part közötti veszteglõhelyet határolja el.,xxx-0537.jpg,2
197,Mit jelez a parti tábla?,A hajóútnak a folyó egyik partjától a másikra történõ átmenetének kezdetét és végét jelzi a jobb parton.,"A hajóút parthoz viszonyított helyzetét jelöli ott, ahol a bal parthoz közelít, valamint iránytartó jelként is szolgál.","A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít.",xxx-0567.jpg,2
198,Mit jelez az ábrán látható villanó zöld fényû parti tábla?,"A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít.",A hajóútnak a folyó egyik partjától a másikra történõ átmenetének kezdetét és végét jelzi a jobb parton.,"A hajóút parthoz viszonyított helyzetét ott, ahol a bal parthoz közelít, valamint iránytartó jelként is szolgál.",xxx-0569.jpg,3
199,Mit jelöl az ábrán látható parti tábla?,Veszélyes hely következik!,"A jobb parti veszélyes helyeket jelzi és kisegítõ jelként szolgál a mederbe benyúló különféle mûtárgyak (gát, vezetõmû, stb.) határolására.","A bal parti veszélyes helyeket jelzi és kisegítõ jelként szolgál a mederbe benyúló különféle mûtárgyak (gát, vezetõmû, stb.) határolására.",xxx-0554.jpg,3
200,"Mit jelölnek az ábrán látható laterális kitûzõ jelek (zöld-vörös sávozású gömb alakú bóják, úszó vagy karó zöld-vörös sávozású gömb alakú csúcsjellel)?","A hajóút tengelyvonalát, a hajóút középvonalát.",A hajózható vizek által határolt különálló veszélyes helyeket jelölik.,"A hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezkedõ akadályokat jelölik.",teszt-0540.jpg,3
201,Mit jelez az ábrán látható állandó fázisú fehér fényû bója?,"A hajóút tengelyvonalát, a hajóút középvonalát.","A hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezkedõ akadályokat.","A hajóút szétágazását vagy összefolyását, valamint a hajóút közelében elhelyezkedõ akadályokat.",teszt-0545.jpg,2
202,Kishajójával völgymenetben hajózik. Melyik oldal felõl hajózhat el az ábrán látható bója mellett? A jel mellett,"bármelyik oldalról biztonságosan el lehet hajózni, mivel a bója a hajóút szétágazását és mindkét ág hajózhatóságát, valamint a hajóúton belül elhelyezkedõ akadályokat jelzi.","csak a hajóm jobb oldal felõl hajózhatok el mellette, mivel az a bal oldali ág hajózhatóságát jelzi.","bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel az a hajóút tengelyét jelzi.",teszt-0543.jpg,1
203,"Kishajójával völgymenetben hajózik. Melyik oldal felõl hajózhat el az ábrán látható bója mellett, ha az 0,5 másodperces szünetekkel 0,5 másodperces fehér fényû felvillanásokkal jelez? A jel mellett","bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a világító bója a hajóút tengelyét jelzi.","csak a hajóm jobb oldal felõl hajózhatok el mellette, mivel az a bal oldali ág hajózhatóságát jelzi.","bármelyik oldalról biztonságosan el lehet mellette hajózni, mivel a világító bója a hajóút szétágazását és mindkét ág hajózhatóságát, valamint a hajóúton belül elhelyezkedõ akadályokat jelzi.",teszt-0547.jpg,3
204,Kishajójával hegymenetben hajózik. Melyik oldal felõl hajózhat el az ábrán látható bója mellett? A bója mellett,"bármelyik oldalról biztonságosan el lehet hajózni, mivel az a hajóút összefolyását, valamint a hajóúton belül elhelyezkedõ akadályokat jelzi.","bármelyik oldalról biztonságosan el lehet hajózni, mivel az a hajóút tengelyét jelzi.","csak a hajóm bal oldal felõl hajózhatok el, mivel az a jobb oldali ág hajózhatóságát jelzi.",teszt-0549.jpg,1
205,Mit jelöl az ábrán látható parti tábla?,"Mindkét oldalról kikerülhetõ veszélyes helyet, akadályt (pl. szigetvéget, víziút elágazást) jelöl a parton.",Menetirány szerint jobbról kerülhetõ veszélyes helyet jelöli.,Elszórt hajózási akadályokat jelöli.,teszt-0563.jpg,1
206,"Hajójával hegymenetben hajózik. Melyik oldal felõl hajózhat el az ábrán látható parti jel mellett, ha az 2,5 másodperces szünetekkel 2,5 másodperces fehér fényû felvillanásokkal jelez? A jel mellett","bármelyik oldalról biztonságosan el lehet hajózni, mivel az a hajóút tengelyét jelzi.","bármelyik oldalról biztonságosan el lehet hajózni, mivel a világító parti jel mindkét oldalról kikerülhetõ veszélyes helyet, akadályt (pl. szigetvéget, víziút elágazást) jelöl.","csak a hajóm bal oldal felõl hajózhatok el, mivel az hegymenetben a jobb oldali ág hajózhatóságát jelzi.",teszt-0566.jpg,2
207,Mit jelez az ábrán látható állandó fázisú fehér fényû parti jel?,"A hajóút tengelyvonalát, a hajóút középvonalát jelzi.","Mindkét oldalról kikerülhetõ veszélyes helyet, akadályt (pl. szigetvéget, víziút elágazást) jelez.",Menetirány szerint jobbról kerülhetõ veszélyes helyet jelez.,teszt-0565.jpg,2
208,Mit jelez a parti tábla?,"A hajóútnak a jobb part felõl a bal part felé tartó irányát (átmenetének kezdetét, végét a jobb parton).","A hajóútnak a bal part felõl a jobb part felé tartó irányát (átmenetének kezdetét, végét a bal parton).","A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít.",teszt-0570.jpg,1
209,Mit jelez a parti tábla?,"A hajóútnak a bal part felõl a jobb part felé tartó irányát (átmenetének kezdetét, végét a bal parton).","A hajóútnak a jobb part felõl a bal part felé tartó irányát (átmenetének kezdetét, végét a jobb parton).","A hajóút parthoz viszonyított helyzetét jelzi és a hajóúton elhelyezett jelekkel együtt, megjelöli a hajóutat azokon a helyeken, ahol az a bal parthoz közelít.",teszt-0586.jpg,1
210,"Mit jelez az ábrán látható sárga felvillanás-csoportokból álló fény (villogó vagy elsötétülõ, páros számú jellemzõkkel)?",Hajózási akadály jelzésére szolgál a jobb parton.,"A hajóútnak az egyik partjától a másikba vezetõ átmenetének kezdetét, végét jelöli ki a bal parton.","A hajóútnak a bal part felõl a jobb part felé tartó irányát (átmenetének kezdetét, végét a bal parton).",teszt-0589.jpg,3
211,Mit jelez a két parti tábla (feltakaró jelek)?,"A hajóút egyik partból a másikba való (hosszabb) átmenetének kezdetét, illetve végét jelzik a jobb parton.","A hajóút egyik partból a másikba való (hosszabb) átmenetének kezdetét, illetve végét jelzik a bal parton.","A hajóút parthoz viszonyított helyzetét jelzik és a víziúton elhelyezett jelekkel együtt megjelölik a hajóutat azokon a helyeken, ahol az a jobb parthoz közelít.",teszt-0606.jpg,1
212,"Völgymenetben hajózva az ábrán látható jobb parti táblákat (feltakaró jeleket) látja. Kell-e módosítania hajójának útirányát, ha az átmenet tengelyében kíván hajózni?","Igen, mert az egymás mögött elhelyezett táblák akkor jelölik az átmenet tengelyét, ha takarásban (egy tengelyben) látszanak.",A táblák egymáshoz viszonyított helyzete és az átmenet tengelye között nincs összefüggés.,"Nem, mert az egymás mögött elhelyezett táblák a képen látható helyzetükben is az átmenet tengelyét jelölik.",teszt-0613.jpg,1
213,"Hegymenetben hajózva a jobb parti táblákat (feltakaró jeleket) látja. Kell-e módosítania hajójának útirányát, ha az átmenet tengelyében kíván hajózni?",A táblák egymáshoz viszonyított helyzete és az átmenet tengelye között nincs összefüggés.,"Igen, mert az egymás mögött elhelyezett táblák akkor jelölik az átmenet tengelyét, ha takarásban (egy tengelyben) látszanak.","Nem, mert az egymás mögött elhelyezett táblák a képen látható helyzetükben is az átmenet tengelyét jelölik.",teszt-0616.jpg,2
214,Mit jelez a két parti tábla (feltakaró jelek)?,"A hajóút parthoz viszonyított helyzetét jelzik és a víziúton elhelyezett jelekkel együtt megjelölik a hajóutat azokon a helyeken, ahol az a bal parthoz közelít.","A hajóút egyik partból a másikba való (hosszabb) átmenetének kezdetét, illetve végét jelzik a bal parton.","A hajóút egyik partból a másikba való (hosszabb) átmenetének kezdetét, illetve végét jelzik a jobb parton.",xxx-0610.jpg,2
215,"Völgymenetben hajózva a bal parti táblákat (feltakaró jeleket) látja. Kell-e módosítania hajójának útirányát, ha az átmenet tengelyében kíván hajózni?",A táblák egymáshoz viszonyított helyzete és az átmenet tengelye között nincs összefüggés.,"Igen, mert az egymás mögött elhelyezett táblák akkor jelölik az átmenet tengelyét, ha takarásban (egy tengelyben) látszanak.","Nem, mert az egymás mögött elhelyezett táblák a képen látható helyzetükben is az átmenet tengelyét jelölik.",xxx-0615.jpg,2
216,"Hegymenetben hajózva a bal parti táblákat (feltakaró jeleket) látja. Kell-e módosítania hajójának útirányát, ha az átmenet tengelyében kíván hajózni?","Nem, mert az egymás mögött elhelyezett táblák a képen látható helyzetükben is az átmenet tengelyét jelölik.",A táblák egymáshoz viszonyított helyzete és az átmenet tengelye között nincs összefüggés.,"Igen, mert az egymás mögött elhelyezett táblák akkor jelölik az átmenet tengelyét, ha takarásban (egy tengelyben) látszanak.",xxx-0617.jpg,3
217,Melyik jelzéssel jelölik a hajóút jobb szélet és a jobb part közeli veszélyeket?,1.,4.,6.,teszt-0598.jpg,1
218,Melyik jelzéssel jelölik a hajóút jobb szélet és a jobb part közeli veszélyeket?,1.,4.,6.,teszt-0600.jpg,1
219,Melyik jelzéssel jelölik a hajóút bal szélet és a bal part közeli veszélyeket?,1.,4.,8.,teszt-0598.jpg,2
220,Melyik jelzéssel jelölik a hajóút bal szélet és a bal part közeli veszélyeket?,1.,4.,6.,teszt-0604.jpg,1
221,"Melyik jelzéssel jelölik a hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezkedõ, mindkét irányból kerülhetõ akadályokat?",1.,4.,6.,teszt-0598.jpg,3
222,"Melyik jelzéssel jelölik a hajóút szétágazását vagy összefolyását, valamint a hajóúton belül elhelyezkedõ, mindkét irányból kerülhetõ akadályokat?",2.,6.,8.,teszt-0602.jpg,2
223,Melyik jelzéssel jelölik a hajóút jobb szélét és a jobb part közötti veszteglõhelyet?,1.,4.,8.,teszt-0598.jpg,3
224,Melyik jelzéssel jelölik a hajóút bal szélét és a bal part közötti veszteglõhelyet?,2.,4.,7.,teszt-0599.jpg,1
225,"Melyik jelzéssel jelölik a hajóútnak a jobb part felõl a bal part felé tartó irányát (átmenetének kezdetét, végét a jobb parton)?",1.,3.,7.,teszt-0641.jpg,1
226,"Melyik jelzéssel jelölik a jobb part felé tartó irányát (átmenetének kezdetét, végét a bal parton)?",1.,3.,7.,teszt-0641.jpg,3
227,"Melyik jelzéssel jelölik a hajóút parthoz viszonyított helyzetét ott, ahol a jobb parthoz közelít?",2.,4.,8.,teszt-0641.jpg,1
228,"Melyik jelzéssel jelölik a hajóút parthoz viszonyított helyzetét ott, ahol a bal parthoz közelít?",2.,4.,8.,teszt-0641.jpg,2
229,"Melyik jelzéssel jelölik a jobb parti veszélyes helyeket, a mederbe benyúló különféle mûtárgyakat (gát, vezetõmû, stb.)?",2.,3.,5.,teszt-0641.jpg,2
230,"Melyik jelzéssel jelölik a bal parti veszélyes helyeket, a mederbe benyúló különféle mûtárgyakat (gát, vezetõmû, stb.)?",2.,"3,",5.,teszt-0641.jpg,3
231,Mit jelent a tábla?,Korlátozottan igénybe vehetõ víziút szakasz!,Áthaladási tilalom!,"Irányjel, a hajóút tengelyének jelzésére.",xxx-0364.jpg,2
232,"Áthajózhat-e a képen látható mûtárgy átjáró nyílásán, ha az átjáró felett egy vörös-fehér-vörös vízszintes csíkozású táblát lát kihelyezve?","Igen, az áthajózás engedélyezett.","Csak akkor, ha az ellenkezõ irányból nem közeledik más hajó.","Nem, az áthaladás tilos!",xxx-0365.jpg,3
233,A képen látható mûtárgy felé hajózik. Mit jelöl a képen látható jelzések közül a 4-es számú (vörös-fehér-vörös) tábla?,A tábla a zsilipbe történõ behajózás tilalmát jelöli!,A zsilipbe és a duzzasztómû vízterületére történõ behajózás tilalmát jelöli!,A tábla a duzzasztómû nyílásán történõ áthaladás tilalmát jelöli!,teszt-0135.jpg,3
234,Völgymenetben a Rákóczi híd felé hajózik. Mit jelöl a 2-es számmal jelzett tábla?,A völgymeneti hajózás számára kijelölt hídnyílást jelöli.,Áthaladási tilalmat jelöl a hídnyílásban!,A hídnyílásban történõ áthajózáskor az elõzést és a találkozást tiltja!,teszt-3335.jpg,2
235,Mit jelölnek a hajóhíd nyílásai felett elhelyezett (vörös-fehér-vörös) táblák?,"Áthaladási tilalmat, kivéve a kis magasságú hajókat!",Áthaladási tilalmat a táblával jelzett átjárókban!,"Áthaladási tilalmat, mivel a hajóhíd nyitási elõkészület alatt áll!",xxx-2190.jpg,2
236,Mit jelölnek a hajóhídon elhelyezett 1-es számú (vörös-fehér-vörös) táblák?,A nyílásokban való áthaladási tilalmat!,"A nyílásokban való áthaladási tilalmat, kivéve a kis magasságú hajókat!","A nyílásokban való áthaladási tilalmat, mert a hajóhíd nyitási elõkészület alatt áll!",xxx-2192.jpg,1
237,Mi a jelentése a hídon látható állandó vörös fénynek?,A hajóút tengelyét jelzõ fény.,Irányjel a hajóút jobb szélén.,Áthaladási tilalom!,teszt-1729.jpg,3
238,Egy zsilip felé hajózva a képen látható jelzéseket látja. Mit jelent a 3-as számú állandó vörös fény?,"A zsilipen történõ áthaladás tilalmát jelöli, mivel a zsilip zárva van!","A zsilipen történõ áthaladás tilalmát jelöli, mivel a zsilip nem üzemel!",A zsilip térségére vonatkozó veszteglési tilalmat jelöl!,teszt-0142.jpg,1
239,Mi a jelentése az egymás mellett elhelyezett két állandó vörös fénynek?,Irányjel a hajóút jobb szélén.,Áthaladási tilalom!,Tartós áthaladási tilalom!,teszt-1728.jpg,2
240,Mi a jelentése az ábrán látható tábláknak?,A hajózás mindkét irányban tilos!,Az áthaladás tartósan tilos!,Jobb parti irányjel és feltakaró jel.,xxx-1923.jpg,2
241,Mit jelölnek az ábrán látható 2-es számmal jelzett (vörös-fehér-vörös) táblák? A duzzasztómû,nyílásain való váltakozó kétirányú áthajózás lehetõségét.,nyílásain való tartós áthaladási tilalmat!,nyílásainak tengelyét.,teszt-0151.jpg,2
242,Éjszaka a képen látható híd felé hajózik. Mit jelölnek az állandó vörös fények?,"A hajóút tengelyét jelölik abban a hídnyílásban, ahol azokat elhelyezték.","Tartós áthajózási tilalmat jelentenek abban a hídnyílásban (átjáróban), ahol azokat elhelyezték.","Magasságkorlátozást jelölnek abban a hídnyílásban, ahol azokat elhelyezték.",teszt-3339.jpg,2
243,"Mit jelent az ábrán látható egy, illetve két vörös lobogó felmutatása?","Hajózási korlátozásra utaló jelzés, tudakozódni kell!",Kishajónak nem tekinthetõ hajók találkozására javasolt oldalának jelzése.,Áthaladási tilalmat jelent!,teszt-0157.jpg,3
244,Melyik táblával jelzik az áthaladás tilalmát?,1.,2.,3.,teszt-0158.jpg,1
245,Melyik jelzéssel jelzik az áthaladás tilalmát?,Az 1-es felül vörös alatta fehér állandó fényekkel.,A 2-es állandó vörös fénnyel.,A 3-as táblával.,teszt-0159.jpg,2
246,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,magányos hajók kivételével tilos az elõzés!,tilos az elõzés!,kötelékek kivételével tilos az elõzés!,teszt-2573.jpg,2
247,"Melyik táblával tiltják általánosan, de csak az elõzést?",1.,2.,3.,teszt-0163.jpg,2
248,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,kötelékek kivételével tilos az elõzés!,tilos mindenféle elõzés!,kötelékek egymás közötti elõzése tilos!,teszt-2577.jpg,3
249,Melyik táblával/táblákkal tiltják kötelékek egymás közötti elõzését?,Az 1-es és a 2-es tábla.,A 2-es és a 3-as tábla.,Az 1-es és a 3-as tábla.,teszt-0165.jpg,1
250,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,magányos hajók kivételével tilos a találkozás és az elõzés!,kötelékek kivételével tilos a találkozás és az elõzés!,tilos a találkozás és elõzés!,teszt-2578.jpg,3
251,Melyik táblával jelzik a találkozás és elõzés általános tilalmát?,1.,2.,3.,teszt-0163.jpg,3
252,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,kötelékek egymás közötti találkozása és elõzése tilos!,kötelékek kivételével tilos a találkozás és az elõzés!,"találkozni tilos, de az elõzés megengedett!",teszt-0168.jpg,1
253,Mit jelöl a képen látható 1. számú tábla? A tábla,a kiegészítõ közlekedési rend hatálya alá tartozó víziút szakaszának kezdetét jelzi.,"tiltja a veszteglést (horgonyon vagy a parthoz kikötve) a víziútnak azon az oldalán és szakaszán, ahol azt elhelyezték.",a víziút veszteglésre kijelölt szakaszának végét jelzi.,teszt-3348.jpg,2
254,Mi a jelentése az ábrán látható tábláknak?,A jelek közti 600 m hosszú szakaszon vesztegelni (horgonyon vagy parthoz kikötve) tilos!,A jelek között 600 m-nél hosszabb kötelék nem vesztegelhet.,A parttól 600 m távolságig tilos a veszteglés (horgonyon vagy parthoz kikötve)!,teszt-0171.jpg,1
255,Melyik táblával jelölik a veszteglésre tiltott vízterület szélességét?,1.,2.,3.,xxx-0194.jpg,1
256,Mi a jelentése a képen látható 1. számú táblának? A tábla tiltja a,"horgonyzást, horgony, kötél és lánc vonszolását a kiegészítõ jelzések hatálya alá tartozó vízterületen.",a veszteglést horgonyon vagy parthoz kikötve a kiegészítõ jelzések hatálya alá tartozó vízterületen.,"a horgonyzást, horgony, kötél és lánc vonszolását a kiegészítõ jelzések hatálya alá tartozó vízterületen túl.",teszt-3352.jpg,1
257,Mi a jelentése az ábrán látható tábláknak?,50 méternél rövidebb horgonylánccal rendelkezõ hajó horgonyzása tilos!,A jelzések közti szakaszon legkevesebb 50 m hosszú horgonyláncot kell használni!,"A jelzések közti 50 m hosszú szakaszon horgonyozni, horgonyt, kötelet és láncot vonszolni tilos!",teszt-0172.jpg,3
258,Mit jelent a tábla?,Tilos a parti kötél használat!,A kiépített kikötõbak használata veszélyes!,Tilos a parthoz kikötni!,teszt-0173.jpg,3
259,Mi a táblák jelentése? A víziút táblákkal jelzett szakaszán,túl tilos megfordulni!,tilos megfordulni!,"fokozott elõvigyázat, veszélyes áramlási viszonyok!",teszt-2588.jpg,2
260,Mi a táblák jelentése? A víziút táblákkal jelölt szakaszán,a csatornahatás miatt csökkentse sebességét!,veszélyes hullámok alakulhatnak ki!,hullámzást kelteni tilos!,teszt-0178.jpg,3
261,Melyik állandó fényjelzéssel jelezhetik a hullámkeltés tilalmát?,1.,2.,3.,teszt-0182.jpg,1
262,Mit jelent a hídon látható két tábla? A hídnyíláson (fehérrel) jelzett,területen kívül (annál szélesebben) tilos az átjárót igénybe venni!,területe szûkületet képez!,területen kívül magasság- és mélységkorlátozásra kell számítani!,teszt-3355.jpg,1
263,Mit jelöl a duzzasztómû 3-as számmal jelzett nyílása felett látható (két darab vörös-fehér rombusz alakú) tábla?,A két tábla a (fehérrel) jelzett területen kívüli magasság- és mélységkorlátozást jelzi!,A duzzasztómû jelzett része felnyitható.,"A duzzasztómûnyílás (fehérrel) jelzett területén kívül, annál szélesebben tilos az átjárót igénybe venni!",teszt-0184.jpg,3
264,Mit jelentenek az ábrán látható (vörös és zöld) fények?,"Az áthaladás tilos, de az induláshoz készüljön fel!",Magasság- vagy mélységkorlátozás figyelembe vételével az áthaladás engedélyezett!,Az áthaladás rövid idõn múlva tiltott lesz!,teszt-0186.jpg,1
265,Mi a tábla jelentése? A táblával megjelölt vízterületen,géphajók közlekedése tilos!,géphajónak nem tekinthetõ hajók közlekedése tilos!,tilos belsõégésû motorral hajtott fedélzeti gépüzemi berendezések mûködtetése!,xxx-0197.jpg,1
266,Mi a tábla jelentése? A táblával megjelölt vízterületen,tilos kedvtelési célú vízijármûvek közlekedése!,tilos mindenféle sporttevékenység!,sportverseny miatt a hajózás tilos!,xxx-0363.jpg,1
267,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,a vízisízés tilos!,kötélvontatású eszközök alkalmazása tilos!,"vízisíverseny zajlik, tilos a behajózás!",xxx-0288.jpg,1
268,Melyik táblával jelölik a vitorlás hajóval való közlekedés tilalmát?,1.,2.,3.,xxx-0201.jpg,3
269,Melyik táblával jelölik a vitorlás deszkával való közlekedés tilalmát?,1.,2.,3.,xxx-0202.jpg,1
270,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,géphajónak és vitorlás hajónak nem minõsülõ hajók kivételével más hajók közlekedése tilos!,géphajónak és vitorlás hajónak nem minõsülõ hajók közlekedése tilos!,"evezõs verseny, behajózni tilos!",xxx-0290.jpg,2
271,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,tilos vitorlás hajóval közlekedni!,vitorlás deszka közlekedésére kijelölt pálya vége!,tilos vitorlás deszkával közlekedni!,xxx-0291.jpg,3
272,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,sporthajók nagysebességû közlekedése tiltott!,géphajók közlekedése a nagysebességû hajók kivételével tilos!,vége a sport és kedvtelési kishajók nagy sebességû közlekedésére engedélyezett zónának!,xxx-0292.jpg,3
273,Mi a tábla jelentése?,Hajók vízrebocsátása és partra húzása tilos!,A sólyapálya használata tilos!,"Meredek partszakasz, utánfutó használata tilos!",teszt-3357.jpg,1
274,Mi a parti tábla jelentése? A táblával megjelölt vízterületen,motoros vízi sporteszköz nagysebességû közlekedése tiltott!,motoros vízi sporteszközzel közlekedni tilos!,"kijelölt sportpálya, sport- és kedvtelési célú hajóval tilos közlekedni!",xxx-0294.jpg,2
275,Mit jelent a tábla?,"A nyíllal jelzett irányban hajózási korlátozás, tudakozódjon!",A nyíllal jelzett irányban tilos hajózni!,A nyíllal jelzett irányban köteles haladni!,teszt-2590.jpg,3
276,Mit jelent a képen látható 1-es számú tábla?,"Kitérési kötelezettség balra, a víziút táblával megjelölt szakaszán!",Köteles a hajóútnak a hajó bal oldala felé esõ részére hajózni!,Köteles a víziút bal partja mentén hajózni!,teszt-0326.jpg,2
277,Mit jelent a képen látható 1-es számú tábla?,Köteles a hajóútnak a hajó jobb oldala felé esõ részére hajózni!,Köteles a víziút jobb partja mentén hajózni!,"Kitérési kötelezettség jobbra, a víziút táblával megjelölt szakaszán!",teszt-0316.jpg,1
278,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,a folyamatos nyíl irányába haladó hajó elsõbbséget élvez az ellentétes irányból közeledõvel szemben!,"iránytartási kötelezettség, köteles a hajóút jobb oldalán haladni!","iránytartási kötelezettség, köteles a hajóútnak a hajó jobb oldala felé esõ oldalán haladni!",teszt-3360.jpg,3
279,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,találkozni és elõzni tilos!,"iránytartási kötelezettség, köteles a hajóút bal oldalán haladni!","iránytartási kötelezettség, köteles a hajóútnak a hajó bal oldala felé esõ oldalán haladni!",teszt-0202.jpg,3
280,Mit jelent a képen látható 3-as számú tábla?,Köteles a víziút bal partja mentén hajózni!,Köteles a hajóútnak a hajó bal oldala felé esõ oldalán hajózni!,"Iránytartási kötelezettség, köteles a hajóút bal oldalán haladni!",teszt-0317.jpg,2
281,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,köteles a hajóútnak a hajó bal oldala felé esõ oldalára áthajózni!,köteles a víziút bal parti oldalba áthajózni!,tilos a keresztezés!,teszt-3362.jpg,1
282,Mi a tábla jelentése? A víziút táblával megjelölt szakaszán,köteles a hajóútnak a hajó jobb oldala felé esõ oldalára áthajózni!,a hajóút keresztezésekor a hajóút jobb oldala felé tartónak van elsõbbsége!,köteles a hajóút jobb part felõli oldalára áthajózni!,teszt-0206.jpg,1
283,Egy zsilip felé hajózva a képen látható jelzéseket látja. Mit jelöl a 2-es számú tábla?,A kötelezõ haladási irányt jelöl!,Egy hosszú figyelmeztetõ hangjeladási kötelezettséget jelez!,"Megállási kötelezettséget jelöl a tábla elõtt, ha a zsilipbe a tiltó jelzés miatt nem lehet behajózni!",teszt-3366.jpg,3
284,Egy nyitható híd felé hajózva a képen látható jelzéseket észleli. Mit jelöl a parton elhelyezett tábla?,"Megállási kötelezettséget jelöl a tábla elõtt, ha a híd zárt állapota miatt nem tudunk ott áthajózni!",A nyitható híd térségében a fokozott elõvigyázatot jelez!,"Azt jelzi, hogy a híd nyitásár egy hosszú hangjelzéssel lehet kezdeményezni!",teszt-3369.jpg,1
